iso2c,year,IAFR_BP6_USD,IAD_BP6_USD,IAP_BP6_USD,IAO_BP6_USD,IARFR_BP6_USD
RO,2003,15770.993600956,224.54,13.4974897192018,6082.67273176098,9450.28337947584
RO,2004,24188.7244414145,323.936564781333,605.717404653067,6975.91594459985,16283.1545273802
RO,2005,30902.1421547323,646.116223695218,723.984812407491,7928.43812343137,21603.6029951982
RO,2006,42813.8922142137,1455.44477332918,1663.42109362829,9488.23804330893,30206.7883039473
RO,2007,55160.8992984144,2202.00293111871,1704.93404982902,11297.4271291321,39956.9422881555
RO,2008,55869.8185844823,2446.89859572366,1519.65281208101,12152.635664385,39750.2786790417
RO,2009,64049.1088101602,2474.37076393856,1719.62807806274,15417.7310037124,44437.7195523011
RO,2010,68903.3230265228,2553.59650491496,2114.52644718365,16181.6195974411,48065.7508623786
RO,2011,69093.9940169034,2554.7270386009,2081.87344653071,16268.3796005151,48188.7144672971
RO,2012,68449.0876463231,2219.21072226359,2709.45644080417,16808.339538347,46711.4852635978
RO,2013,74909.820134445,5243.15689226137,3234.92365825935,17610.5188780683,48819.6846547362
RO,2014,70920.7907778536,6441.62959748291,2961.37571878051,18340.5663447977,43164.7421720165
RO,2015,62158.6151468152,6423.07785037491,3015.40612869783,14005.8345589122,38708.751366889
RO,2016,66983.9063151095,6676.03931866242,3337.67108962889,16964.4226523831,39999.4989997934
RO,2017,78969.7097587061,8055.76255942439,4528.33097777207,21910.831298985,44432.1278494166
RO,2018,81725.1877020714,10534.9076983504,4725.54988216811,24280.7344854674,42132.6896659363
RO,2019,87693.048317707,13386.4532482163,6397.39016147203,25887.8614344724,42005.3840293104
RU,2003,341943.334731653,90687.1291,4381.2607,169881.705580736,76938.3393509166
RU,2004,411670.531025444,107087.0681,7920.0339,171969.051285684,124541.17773976
RU,2005,515931.59159788,140775.206003,17774.7267,175090.412491966,182240.346402914
RU,2006,754972.747397596,234631.574490459,12248.1021,204139.099997039,303731.870810098
RU,2007,1093411.93636071,365797.392994593,19935.5288,227493.244684069,478762.36988205
RU,2008,1006137.45537529,198437.043572777,24221.3549,351894.029245786,426283.027656729
RU,2009,1087706.96244908,298357.01428843,38155.78285901,309507.405606522,439446.595695125
RU,2010,1171147.68020816,361120.686144807,36656.3227,292357.451927639,479373.966035706
RU,2011,1244896.63542029,361750.020858592,42434.9358439483,336391.839891136,498644.899226616
RU,2012,1380697.91867486,409567.140012304,48299.76763613,379661.403069072,537616.109257355
RU,2013,1474595.77624153,479501.115162568,53743.4366781463,425826.814030366,509592.543130448
RU,2014,1278198.31290346,414413.29,56629.52,404131.82,385458.872903463
RU,2015,1177937.16025884,375034.33,68118.7,355240.56,368397.830258841
RU,2016,1241070.10140795,426608.32,72060.18,357806.99,377738.081407945
RU,2017,1346735.96096411,477213.39,73945.51,357992.62,432731.04096411
RU,2018,1343594.08168272,435862.04,68551.09,364296.14,468477.851682719
RU,2019,1513466.17163892,501156.72,80294.4,372306.88,554346.041638925
TH,2003,66425.0488616065,5632,2834,15197,42148.0488616065
TH,2004,83820.2706129928,5690,1625,26031.6683460826,49830.6022669103
TH,2005,93657.8161366754,6586.66696726046,3525.1429615963,31010.7718858686,52064.9715867253
TH,2006,123164.812442649,8756.35697154564,4831.37176536844,41882.2293299154,66983.9204437973
TH,2007,163359.970549681,9888.674728524,15238.9572504074,49207.4355078599,87454.0828887712
TH,2008,178500.222917359,12676.6240554535,13471.2814254235,36749.9522490021,111007.868693441
TH,2009,218083.260481885,18034.6576289702,23431.0456336642,34681.7856613355,138578.631487626
TH,2010,263121.607311653,24581.3878605566,22749.8541290094,39970.8551107249,172121.571482352
TH,2011,283961.9136476,42053.9295072449,20800.2875183016,39346.1755313778,175188.154865984
TH,2012,316958.328490623,57063.2227272742,29279.5618361294,44203.9102882254,181609.385053903
TH,2013,320608.110115316,66353.7558331015,29965.7793022461,54405.5358353977,167289.026498308
TH,2014,329441.029318278,68521.4518915147,37647.5186936869,63308.4415587173,157107.590029524
TH,2015,338958.650858457,76011.8687407457,39799.7408624071,63466.2397478475,156513.946382606
TH,2016,382377.683793137,95582.7773971712,38656.187145677,72686.3598601061,171853.240486519
TH,2017,467928.056398226,118319.103262032,53191.7592092862,91541.7225960795,202562.311962509
TH,2018,489574.993630361,132234.465287163,52587.2342283604,96477.8766114748,205641.074918822
TH,2019,545155.890449028,147056.033728109,70141.6706915221,100781.926697137,224321.907007541
TR,2003,73680.6328801045,6138,1948,30424.6458764,35169.9870037045
TR,2004,85948.3823583953,7060,920,40356.2394926,37612.1428657953
TR,2005,107061.001444988,8315,718,45650,52378.0014449876
TR,2006,143912.882734882,8866,3111,68750,63185.8827348823
TR,2007,170042.128014323,12210,2007,79410,76415.1280143234
TR,2008,186377.726825489,17846,1938,92341,74252.726825489
TR,2009,182001.113097898,23314,1907,81946,74834.1130978976
TR,2010,185816.405558909,23962,2230,73657,85967.4055589094
TR,2011,179552.440578304,28294,1750,61173,88335.4405783039
TR,2012,214277.309005428,31378,1320,62412,119167.309005428
TR,2013,226091.081542956,33660,1003,60393,131035.081542956
TR,2014,230420.157482209,39933,1505,61673,127309.157482209
TR,2015,211587.052858693,36248,1574,63233,110532.052858693
TR,2016,215465.310168257,39463,1284,68607,106111.310168257
TR,2017,233005.163361014,46999,1153,77122,107731.163361014
TR,2018,230507.796570308,46188,1142,90150,93027.796570308
TR,2019,253323.733633222,50943,1594,95091,105695.733633222
UA,2003,19705.2094935665,166,26,12576,6937.20949356649
UA,2004,28164.1660956777,198,36,18405,9525.16609567767
UA,2005,42712.0076908784,468,56,22797,19391.0076908784
UA,2006,57023.487313379,344,63,34360,22256.4873133789
UA,2007,90619.8230627738,6379,103,51675,32462.8230627738
UA,2008,106595.636736662,7089,49,67915,31542.6367366617
UA,2009,111156.607342122,5906,79,78667,26504.6073421218
UA,2010,132015.991428167,6548,94,90798,34575.9914281666
UA,2011,138702.939906625,6960,108,99840,31794.9399066251
UA,2012,142213.216496683,7867,173,109627,24546.2164966833
UA,2013,136389.98199895,7998,176,107800,20415.9819989497
UA,2014,120929.774512332,7967,188,105242,7532.77451233223
UA,2015,120048.850765131,3265,173,103311,13299.8507651311
UA,2016,119598.878304367,3261,96,100703,15538.8783043675
UA,2017,124628.801196558,3438,98,102284,18808.8011965576
UA,2018,128787.870004103,3524,129,104315,20819.8700041028
UA,2019,140853.202926889,4343,546,110662,25302.2029268886
ZA,2003,103271.875704267,24375,42504.0662650602,24836.4457831325,7969.6166681225
ZA,2004,131723.134399065,34574.2451154529,49651.1545293073,29120.6039076377,14717.6281823684
ZA,2005,152741.659339471,31037.628458498,68244.9011857708,31037.9446640316,20627.8253473765
ZA,2006,180105.842390992,41102.1520803443,75152.5107604017,35451.9368723099,25585.3258917091
ZA,2007,224775.356541533,55213.6563876652,82255.0660792952,39825.9911894273,32941.1421509311
ZA,2008,215226.85390532,49438.36646964,68589.6829661472,32597.95808705,34067.1548188078
ZA,2009,267485.92906157,70296.0704607046,101398.91598916,34031.5718157182,39673.8694409742
ZA,2010,325684.406925693,83248.5373062308,137470.293745099,39702.3342783039,43826.936631948
ZA,2011,337341.883105449,97050.5593830208,135522.234093505,38146.2378268185,48866.155784716
ZA,2012,375883.861975582,111779.465131188,159760.73825306,37676.9025367156,50696.9166799454
ZA,2013,394373.821415192,128682.011658889,166771.784153253,37952.2109467724,49688.2444050349
ZA,2014,399916.911729477,146023.340054141,154864.669996848,39951.9037730065,49092.1521026757
ZA,2015,397642.728657979,154683.49951753,146769.250562882,36086.3943390158,45924.2982945184
ZA,2016,423405.227153325,175636.06867649,154926.28494386,38056.1878628663,47227.7410285631
ZA,2017,558109.362863236,272984.8184,181173.44,43045.8252,50727.4276632361
ZA,2018,490909.296695075,246439.072884001,146966.1558504,39643.7783540001,51631.4423466737
ZA,2019,497779.831855866,214998.060004,180309.6998885,38820.8211754999,55050.2275388669
