iso2c,year,IAFR_BP6_USD,IAD_BP6_USD,IAP_BP6_USD,IAO_BP6_USD,IARFR_BP6_USD
CL,2006,134332.673410435,30225.4390429643,59219.6778368328,24485.2713448156,19428.1847456616
CL,2007,178627.008366417,38908.6904738137,89324.6193052067,31312.3398152668,16909.8018983896
CL,2008,158509.159307585,46792.4595440327,60910.9498248664,24261.5304703452,23161.0175071107
CL,2009,204078.122451103,56506.7553937357,95093.9279782861,22793.4568144892,25377.205705383
CL,2010,249543.990362921,65921.883780723,123884.959136912,28286.6137630939,27862.8760634078
CL,2011,269803.571268049,84364.9884588664,110891.958775138,28727.5266875707,41978.8073385962
CL,2012,308777.71366388,104779.650701678,132595.333966655,26461.9929201183,41649.3773402881
CL,2013,325980.690417917,110083.435301886,144574.022675408,24990.0113319539,41093.379358909
CL,2014,345705.623384296,115978.386040227,154340.334865226,28481.0324510289,40447.2637885037
CL,2015,334444.767617967,116503.026472963,148474.61324277,25028.7829501285,38641.2985419915
CL,2016,349765.910521841,125799.29275328,153171.646605862,25568.8735577358,40493.3388536697
CL,2017,383554.18889679,131530.703414722,182879.524548031,25118.3238367394,38981.5471491784
CL,2018,370301.00062168,129749.95745587,168957.612003183,24950.6514956958,39858.8408258615
CL,2019,405931.836402347,136771.809395361,191779.715042616,27434.7772979221,40655.5130796782
CO,2003,29858.7215875656,4390.36353594703,8007.21173864741,6860.50448685416,10600.641826117
CO,2004,33618.7682877315,4407.19808143915,9083.37289317206,6987.51428507503,13140.6830280453
CO,2005,41514.2976001428,9098.32400200034,10514.4974271256,7349.14870806432,14552.3274629526
CO,2006,47303.0622162642,10366.0807046503,13577.9479585556,8323.03430522592,15035.9992478323
CO,2007,57005.6169630574,11644.8770954403,15647.3160263995,9187.63230459175,20525.7915366258
CO,2008,62344.7477144881,14730.0014635803,15463.6634913494,8606.21387878715,23544.8688807712
CO,2009,72001.2259951077,18234.6593665503,16535.3922271586,12167.4487453807,24970.1298346524
CO,2010,82987.9091511796,23717.3181482503,19885.911835105,11289.3106449025,28062.5659655725
CO,2011,100184.09582788,32137.1436129903,21247.2345863106,14905.5718655306,31894.1457630478
CO,2012,109129.841716976,31530.9415202003,23833.5859205531,16742.5420029089,36962.1155965443
CO,2013,128844.66663538,39183.0221233503,27468.6844890142,19034.9330199724,43110.9955745565
CO,2014,145471.854229692,43081.9636574003,34564.8920220217,20800.6685896169,46807.2491291249
CO,2015,149198.221389304,47299.7000933991,34089.7973981786,21338.0580430868,46223.293789215
CO,2016,162105.804489842,51817.052013425,39279.7177295987,24218.7514167304,46185.3975435539
CO,2017,172626.513698745,55506.6160879691,45479.4310556474,23780.3733768518,47138.2053062963
CO,2018,180362.77855032,60632.9338089414,47125.3245660805,24190.7535697768,47894.9675880919
CO,2019,185556.128510643,63851.6924478421,47666.7230826616,20807.6980911661,52651.5093756632
