"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1995,1996,1997,1998,1999,1999Q1,1999Q2,1999Q3,1999Q4,2000,2000Q1,2000Q2,2000Q3,2000Q4,2001,2001Q1,2001Q2,2001Q3,2001Q4,2002,2002Q1,2002Q2,2002Q3,2002Q4,2003,2003Q1,2003Q2,2003Q3,2003Q4,2004,2004Q1,2004Q2,2004Q3,2004Q4,2005,2005Q1,2005Q2,2005Q3,2005Q4,2006,2006Q1,2006Q2,2006Q3,2006Q4,2007,2007Q1,2007Q2,2007Q3,2007Q4,2008,2008Q1,2008Q2,2008Q3,2008Q4,2009,2009Q1,2009Q2,2009Q3,2009Q4,2010,2010Q1,2010Q2,2010Q3,2010Q4,2011,2011Q1,2011Q2,2011Q3,2011Q4,2012,2012Q1,2012Q2,2012Q3,2012Q4,2013,2013Q1,2013Q2,2013Q3,2013Q4,2014,2014Q1,2014Q2,2014Q3,2014Q4,2015,2015Q1,2015Q2,2015Q3,2015Q4,2016,2016Q1,2016Q2,2016Q3,2016Q4,2017,2017Q1,2017Q2,2017Q3,2017Q4,2018,2018Q1,2018Q2,2018Q3,2018Q4,2019,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Value","1427903000","1451105000","2259469000","2212540000","1338184978.05546",,,,,"3185162640.46954",,,,,"3390875220.04322",,,,,"6616499942.72338",,,,,"4157690673.46725",,,,,"3246977498.41614",,,,,"3427781872.34694",,,,,"4578792881.40431",,,,,"4720874506.03184",,,,,"3954766102.24346",,,,,"4511373523.42283",,,,,"5202386044.67001",,,,,"2635915281.96723",,,,,"8563813984.52621",,,,,"13212139832.1562",,,,,"13847257844.1584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Value",,,,,,"1723272792.16701","1285445856.24092","1362236000","1338184978.05546",,"2616048970.12325","2035244327.21365","2442485853.38902","3185162640.46954",,"3331519208.09356","3322303808.04294","3849050310.99348","3390875220.04322",,"4401688142.09637","4653067783.40592","5026522544.43203","6616499942.72338",,"3674104074.33371","3379865011.67837","3945119165.25963","4157690673.46725",,"4368499832.89087","4575639610.50826","3024007159.47521","3246977498.41614",,"3522279229.82696","2875686449.88466","3248827687.91513","3427781872.34694",,"4042732375.8634","4070578134.73994","4188233213.3082","4578792881.40431",,"4785081003.89279","4703003667.58008","5135785687.07882","4720874506.03184",,"4352869373.88302","4467884409.06812","3809605861.71009","3954766102.24346",,"4080742250.12558","3731308263.05724","4532868859.33665","4511373523.42283",,"4452690005.89757","4244626405.87958","3399581092.78316","5202386044.67001",,"4700974398.81036","4967400370.14772","14654530136.1781","2635915281.96723",,"11503972464.8463","11511983379.8826","12748910530.4836","8563813984.52621",,"12544734364.9424","12451342417.9272","12875540019.7833","13212139832.1562",,"13093716985.6136","13577589419.9688","12534712946.1486","13847257844.1584",,"15756390313.1684",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Value","414061497000","526181637000","557808813000","620300700000","707130668271.483",,,,,"773993499862.448",,,,,"794392595783.308",,,,,"852783699173.436",,,,,"1048733529052.89",,,,,"1232503254061.43",,,,,"1265929920042.09",,,,,"1358274018866.16",,,,,"1432367341907.86",,,,,"1485530900350.64",,,,,"1593538308730.51",,,,,"1775565350786.68",,,,,"2018945063397.04",,,,,"2064898092507.03",,,,,"2109981603806.68",,,,,"2196436454568.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Value",,,,,,"628575159960.097","648626206799.319","668058922000","707130668271.483",,"721459340398.808","760585491596.937","765572368584.664","773993499862.448",,"776762748841.515","771435911492.164","791418907325.036","794392595783.308",,"797104506973.918","820924417047.137","843699285530.759","852783699173.436",,"871762974534.314","923818137636.357","989512956686.992","1048733529052.89",,"1208563632952.53","1204979242961.51","1210566140487.27","1232503254061.43",,"1233549810328.82","1254402584813.85","1247449610899.41","1265929920042.09",,"1274003222166.01","1299121491274.23","1330138817445.38","1358274018866.16",,"1387483245914.39","1398955267502.78","1415031345138.54","1432367341907.86",,"1462396228659.87","1441259270036.15","1453782406954.91","1485530900350.64",,"1489166443533.27","1515085395069.17","1549080972911.33","1593538308730.51",,"1617319275122.21","1698117906998.24","1763286813578.15","1775565350786.68",,"1777268787622.79","1809751330658.66","1926734874929.4","2018945063397.04",,"1978885041753.22","2007992060384.54","2039624478398.84","2064898092507.03",,"2060255800547.75","2058771647474.9","2091071851909.14","2109981603806.68",,"2145124827262.87","2159276635388.6","2171654227999.91","2196436454568.98",,"2270832615638.46",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Value","44308795000","47736004000","41162455000","49663590000","16986817077.9205",,,,,"16542639185.002",,,,,"15521738278.1417",,,,,"21201204491.1971",,,,,"32936501687.4917",,,,,"39479999410.9128",,,,,"36436783959.1801",,,,,"41440528899.1318",,,,,"51375318062.8623",,,,,"60286109218.0449",,,,,"70609901052.3595",,,,,"117021169964.719",,,,,"144395140911.291",,,,,"99253942942.3738",,,,,"85852646622.171",,,,,"93788974889.5789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Value",,,,,,"15471779145.4473","16397850000","18142228000","16986817077.9205",,"16919359130.8848","16591752525.4713","13965526473.8928","16542639185.002",,"15762654544.1222","14906447473.7801","16447662047.0212","15521738278.1417",,"15694011992.1462","20712486909.1715","23231211024.6113","21201204491.1971",,"23702476348.7259","26492157343.6167","26573822339.5757","32936501687.4917",,"34990471141.6666","33444497382.0033","34706090455.6468","39479999410.9128",,"37421592513.0647","34946786548.0081","37316416899.3317","36436783959.1801",,"31725462604.202","36497696052.7505","37744661305.8378","41440528899.1318",,"42669007227.299","46343649495.6248","52862225562.2398","51375318062.8623",,"63102531591.1361","64019611066.6651","60212809299.3978","60286109218.0449",,"51849911757.5782","55861171343.8705","66464960704.6958","70609901052.3595",,"78600791078.134","89222697761.8884","115043378112.003","117021169964.719",,"118993068447.662","135221646324.412","132409937856.262","144395140911.291",,"148136391549.44","151681235262.371","173443999236.355","99253942942.3738",,"106730401070.546","77085122038.2723","82406909427.1334","85852646622.171",,"91983976752.6407","92504045942.1292","93230399816.5489","93788974889.5789",,"93392986569.8647",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, US Dollars","RAXGFXAR_USD","Value","768304132000","912934892000","913980481000","927308970000","1012801735045.2",,,,,"1110027865259.73",,,,,"1125853842372.72",,,,,"1286313908224.24",,,,,"1566040788000.52",,,,,"1836416228153.75",,,,,"1834103460424.59",,,,,"2001253169930.89",,,,,"2183236193020.47",,,,,"2224699072109.64",,,,,"2459520978467.32",,,,,"2745346408714.25",,,,,"3060012778579.25",,,,,"3313820178324.57",,,,,"3423659519871",,,,,"3453364542945.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, US Dollars","RAXGFXAR_USD","Value",,,,,,"901220014702.472","921271955707.271","968578534000","1012801735045.2",,"1020593368714.22","1065932024021.73","1075717690194.08","1110027865259.73",,"1090923738827.02","1078407076206.88","1129968682444.45","1125853842372.72",,"1130841672045.83","1214604938619.68","1255113312058.29","1286313908224.24",,"1305171760331.56","1385217170897.56","1461177938496.31","1566040788000.52",,"1738108340377.99","1724648948426.7","1745671283400.05","1836416228153.75",,"1831532535488.92","1824411742887.91","1818183536090.26","1834103460424.59",,"1851665244810.54","1898019965706.28","1931195568359.23","2001253169930.89",,"2040128591935.4","2075417279479.07","2137758660455.36","2183236193020.47",,"2281711442014.2","2243600968699.06","2189477382621.07","2224699072109.64",,"2177051358444.75","2313350798892.63","2409115068737.66","2459520978467.32",,"2502847240787.27","2599005772638.67","2753081930206.09","2745346408714.25",,"2794395665075.01","2863485797016.07","2978886920509.59","3060012778579.25",,"3070935266216.75","3177098789627.83","3278569479394.82","3313820178324.57",,"3294063280412.52","3290650603498.56","3381195915172.42","3423659519871",,"3477591348841.04","3516571184554.82","3438723492666.87","3453364542945.21",,"3526053080750.95",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Value","167352482757.891","107286086354.172","100318001561.905","99804849247.2083","113901532957.753",,,,,"112481334339.891",,,,,"126758347627.238",,,,,"164170481265.31",,,,,"209839812909.251",,,,,"244993181441.672",,,,,"257027964372.706",,,,,"270417860546.02",,,,,"275311126458.651",,,,,"293733308871.847",,,,,"350105776266.21",,,,,"383779476862.212",,,,,"386209237207.92",,,,,"409453284323.918",,,,,"418186881747.111",,,,,"422773590243.268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Value",,,,,,"96537422288.5951","101636192566.299","106671759884.57","113901532957.753",,"116662392812.284","117053787433.106","114945533653.594","112481334339.891",,"114140379689.449","114600685449.406","119479545575.809","126758347627.238",,"132983028318.931","153689809508.846","158195614302.102","164170481265.31",,"169245467910.643","178682042526.287","192508203190.57","209839812909.251",,"227779954473.63","231595130263.087","234765334226.659","244993181441.672",,"253075580115.891","256286174564.129","256433419345.99","257027964372.706",,"260317791268.964","265519526914.454","265424353065.985","270417860546.02",,"271213952248.642","270455061834.599","267881826475.05","275311126458.651",,"292628913688.862","296394761730.771","283754067572.574","293733308871.847",,"302312463393.369","320334205388.715","334454364184.315","350105776266.21",,"356892373678.975","362763600179.559","382055325007.837","383779476862.212",,"406174651702.223","409465324191.037","393131831419.488","386209237207.92",,"397224771950.96","394423932547.891","402044993162.358","409453284323.918",,"408942970523.135","409269303624.06","414775236166.226","418186881747.111",,"421734925293.171","427656123567.204","428453967830.686","422773590243.268",,"420044170707.677",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Shares of Allocated Reserves, Shares of pounds sterling, Percent","RAXGFXARGBPRT_PT","Value","2.08433943447801","2.84680093046548","2.70068086935436","2.81678219935692","3.01322845723027",,,,,"2.80003177388342",,,,,"2.67594016042396",,,,,"2.81501380382182",,,,,"2.33134329230034",,,,,"2.64012353561212",,,,,"2.72013685733813",,,,,"3.23760487896812",,,,,"3.48632838459126",,,,,"2.65803107880095",,,,,"2.75706053516324",,,,,"2.4837976100774",,,,,"2.50817917634907",,,,,"3.0056842525811",,,,,"2.99465332722592",,,,,"2.92046547357184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Shares of Allocated Reserves, Shares of pounds sterling, Percent","RAXGFXARGBPRT_PT","Value",,,,,,"2.90919307861201","2.99806574159866","3.01116243817148","3.01322845723027",,"2.92328363510894","2.72287390489643","2.77838144744281","2.80003177388342",,"2.83231510707399","2.68310356946069","2.66657882377613","2.67594016042396",,"2.64077944526304","2.71171293193386","2.78007657371559","2.81501380382182",,"2.4087328906501","2.37164011595996","2.20199150981699","2.33134329230034",,"2.18085075384198","2.23336960806791","2.50186084754775","2.64012353561212",,"2.74472867466679","2.66520284281371","2.70574399172728","2.72013685733813",,"2.86402458389599","3.01646305366052","3.0640229859106","3.23760487896812",,"3.22843701914273","3.4242321780922","3.62268372905391","3.48632838459126",,"3.45850205325026","3.48743716031824","3.28492877087624","2.65803107880095",,"2.62230065225264","2.80998932445221","2.72523863321266","2.75706053516324",,"2.70116764677166","2.44354465296291","2.46073457061975","2.4837976100774",,"2.51990549108943","2.53085599625037","2.49943270371812","2.50817917634907",,"2.7720617455179","2.49761364826281","3.01041541066168","3.0056842525811",,"2.90272956063146","2.86876585983992","2.99738794708345","2.99465332722592",,"2.86927097969734","2.95664165468682","2.94564175783393","2.92046547357184",,"3.10397905878776",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Shares of Allocated Reserves, Shares of Swiss francs, Percent","RAXGFXARCHFRT_PT","Value","0.18585127172009","0.158949451129095","0.247211953315226","0.238597929231721","0.132127042416227",,,,,"0.286944385826229",,,,,"0.301182541856144",,,,,"0.51437677074156",,,,,"0.265490573765685",,,,,"0.176810542655709",,,,,"0.186891412960609",,,,,"0.228796283758663",,,,,"0.216232880396719",,,,,"0.177766339359023",,,,,"0.183424884882834",,,,,"0.189498346298181",,,,,"0.086140662562562",,,,,"0.258427238766346",,,,,"0.385906944176915",,,,,"0.40097874614618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Shares of Allocated Reserves, Shares of Swiss francs, Percent","RAXGFXARCHFRT_PT","Value",,,,,,"0.191215548262754","0.139529467740507","0.140642803054316","0.132127042416227",,"0.256326275509613","0.190935658310999","0.227056399244335","0.286944385826229",,"0.305385160256542","0.308075112018795","0.340633361861576","0.301182541856144",,"0.389240001576276","0.383093105869784","0.400483565598464","0.51437677074156",,"0.281503491417893","0.243995315874431","0.269995806898065","0.265490573765685",,"0.251336451900394","0.265308462611034","0.173228899863973","0.176810542655709",,"0.192313221937207","0.157622667201904","0.17868535400454","0.186891412960609",,"0.218329548885445","0.214464452866028","0.216872557183143","0.228796283758663",,"0.234548009513133","0.226605209182827","0.240241603604817","0.216232880396719",,"0.190772123666982","0.199138994473638","0.173996127658078","0.177766339359023",,"0.18744354533927","0.161294528475463","0.18815493365835","0.183424884882834",,"0.177904984904192","0.163317313511396","0.123482743302473","0.189498346298181",,"0.168228660585335","0.173473895883265","0.491946506437754","0.086140662562562",,"0.374608106898282","0.362342632135499","0.388855890064495","0.258427238766346",,"0.380828578477444","0.378385429455475","0.380798402186841","0.385906944176915",,"0.376516838011379","0.386103073346079","0.364516454227245","0.40097874614618",,"0.446856299446654",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Shares of Allocated Reserves, Shares of U.S. dollars, Percent","RAXGFXARUSDRT_PT","Value","53.8929155466263","57.6362719412854","61.0307139589779","66.8925590140684","69.8192591701992",,,,,"69.7273937065845",,,,,"70.5591228528509",,,,,"66.296702050801",,,,,"66.9671912180451",,,,,"67.1145917339518",,,,,"69.0217290004477",,,,,"67.8711738861639",,,,,"65.6075300733361",,,,,"66.7744648691714",,,,,"64.7905963267505",,,,,"64.6754575360943",,,,,"65.9783213171557",,,,,"62.3117122049457",,,,,"61.6294228897556",,,,,"63.6027974242114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Shares of Allocated Reserves, Shares of U.S. dollars, Percent","RAXGFXARUSDRT_PT","Value",,,,,,"69.7471371813257","70.4055086862338","68.9731290286885","69.8192591701992",,"70.6901849957861","71.3540333207429","71.1685208455145","69.7273937065845",,"71.2022959255338","71.5347597871452","70.0390125514778","70.5591228528509",,"70.4877196055094","67.5877720355776","67.2209654240026","66.296702050801",,"66.7929694029587","66.6912132656977","67.7202228843733","66.9671912180451",,"69.5332738976273","69.8680878830874","69.3467408210696","67.1145917339518",,"67.3506905515893","68.7565506911409","68.6096637736516","69.0217290004477",,"68.8031071348629","68.4461446532156","68.8764431339019","67.8711738861639",,"68.0095976008126","67.4059757204062","66.192286871013","65.6075300733361",,"64.092075874806","64.2386632089865","66.3986035432143","66.7744648691714",,"68.4029082619853","65.4931105042271","64.3008295042971","64.7905963267505",,"64.6191764629426","65.3372118244359","64.0477420679651","64.6754575360943",,"63.6011861110256","63.2009885484515","64.6796916547539","65.9783213171557",,"64.4391649515658","63.2020655744155","62.2108053898959","62.3117122049457",,"62.5445119041471","62.5642736207257","61.844149359281","61.6294228897556",,"61.6842122056049","61.4028985072844","63.1529180124833","63.6027974242114",,"64.4015436986795",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Emerging and Developing Economies","200","Shares of Unallocated Reserves, Percent","RAXGFXURRT_PT","Value","41.2324328419653","42.6290957171273","40.3090946853264","42.3589747848197","44.0698763240101",,,,,"42.8571545961964",,,,,"44.3365042655333",,,,,"46.821235649422",,,,,"47.4372348277477",,,,,"50.9247459842561",,,,,"54.7332915448755",,,,,"55.7159520511336",,,,,"54.3356862949701",,,,,"58.8991687196745",,,,,"60.3522292157722",,,,,"60.7282736971162",,,,,"61.7753277948447",,,,,"61.6561568481834",,,,,"64.3542954975555",,,,,"56.7037851100348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Emerging and Developing Economies","200","Shares of Unallocated Reserves, Percent","RAXGFXURRT_PT","Value",,,,,,"44.3904057897228","43.5014479858977","44.3261921100178","44.0698763240101",,"43.4727359122171","43.9389375304685","42.8773328545325","42.8571545961964",,"42.7081100786308","41.7002359038115","41.9753542033233","44.3365042655333",,"45.511542719636","45.2579471179744","45.6162884105619","46.821235649422",,"47.4387769070421","47.7427990152073","49.1822254182745","47.4372348277477",,"48.0995528386477","49.2253095000201","49.9166302799551","50.9247459842561",,"53.4742023752198","53.8712135564503","54.8299874095983","54.7332915448755",,"55.0226259189488","56.0435666341327","56.0153104075182","55.7159520511336",,"54.9163207116014","54.5082735371235","54.797024905412","54.3356862949701",,"54.9587006673046","55.5304734615067","56.8156152749047","58.8991687196745",,"59.3448855964623","59.8413208514237","60.1329667796656","60.3522292157722",,"60.2471703956054","59.9858210708914","59.7895667009454","60.7282736971162",,"60.883308929803","61.3136440867464","61.5567058370683","61.7753277948447",,"62.2164620709059","61.7643380886112","61.4994413264057","61.6561568481834",,"62.3295907939882","62.6765069443021","63.3309622184096","64.3542954975555",,"56.3285042861901","56.3379429524035","56.0746642559137","56.7037851100348",,"57.07154243214",,,,,,,,,,,,,,,,,,,,,,,,,,,
"World","001","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88608508008.4071",,,,,"113033213950.254",,,,,"108497885502.488",,,,,"131026279317.579",,,,,"142303388848.203",,,,,"180494359678.229",,,,,"174463044594.84",,,,,"187881651119.246",,,,,,,,
"World","001","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88608508008.4071",,"101077130516.25","102459744218.18","104113169442.442","113033213950.254",,"118566668729.219","121412271603.927","116285951821.599","108497885502.488",,"105039295311.21","127090273732.316","120017645106.165","131026279317.579",,"133669619366.686","136983309572.232","150195621326.574","142303388848.203",,"156281512430.445","162306040481.257","171247575154.134","180494359678.229",,"177440106055.416","179071110096.641","181092097399.042","174463044594.84",,"182462025622.681","187220838805.874","182991509256.9","187881651119.246","170007411718.609","189940067928.659","198735539895.365",
